name,date,notes,year,split_index,race_train_stall,details,track,date_dt,fy_TB,fy_QH,fy_pq,State,Types,TB
Manuka Bobby,Mar 20,Mahoning R – “suffered catastrophic injury…euthanized”,2023,"(9, 10)",R,“suffered catastrophic injury…euthanized”,Mahoning,2023-03-20,2018.0,,2018.0,Ohio,T,T
Trophy Chaser,Mar 20,"Parx R – “injured leg during warm-up, vanned off, euthanized”",2023,"(5, 6)",R,"“injured leg during warm-up, vanned off, euthanized”",Parx,2023-03-20,2016.0,2020.0,2016.0,Pennsylvania,T,T
El Rafa Q,Mar 21,Sunland R – “fractured ankle”,2023,"(8, 9)",R,“fractured ankle”,Sunland,2023-03-21,2020.0,,2020.0,New Mexico,TQ,T
Notario,Mar 21,Turfway T – “open fetlock with disarticulation and avulsion”,2023,"(8, 9)",T,“open fetlock with disarticulation and avulsion”,Turfway,2023-03-21,2020.0,,2020.0,Kentucky,T,T
Xposed Secret,Mar 23,Charles Town R (euth Mar 24) – “condylar fracture”,2023,"(13, 14)",R,(euth Mar 24)  “condylar fracture”,Charles Town,2023-03-23,2020.0,,2020.0,West Virginia,T,T
Relenteless Grace,Mar 23,Retama T – “probable spinal fracture/dislocation” (she was just one),2023,"(7, 8)",T,“probable spinal fracture/dislocation” (she was just one),Retama,2023-03-23,,,,Texas,Q,Q
Forth,Mar 25,"Laurel R – “collapsed to the dirt, compound cannon fracture”",2023,"(7, 8)",R,"“collapsed to the dirt, compound cannon fracture”",Laurel,2023-03-25,2018.0,,2018.0,Maryland,T,T
Saltwater Gypsy,Mar 25,Oaklawn R – “collapsed and died just past the finish” (two years old),2023,"(8, 9)",R,“collapsed and died just past the finish” (two years old),Oaklawn,2023-03-25,2020.0,,2020.0,Arkansas,T,T
Stand Up Comic,Mar 25,"Parx T – “illness, died” (three years old)",2023,"(5, 6)",T,"“illness, died” (three years old)",Parx,2023-03-25,2019.0,,2019.0,Pennsylvania,T,T
Vezpa,Mar 25,"Turfway R – “fetlock open and disarticulated, ruptured ligaments, torn tendons”",2023,"(8, 9)",R,"“fetlock open and disarticulated, ruptured ligaments, torn tendons”",Turfway,2023-03-25,,,,Kentucky,T,T
Amongst Friends,Mar 26,Oaklawn T – “collapsed and died at six pole” (four years old),2023,"(8, 9)",T,“collapsed and died at six pole” (four years old),Oaklawn,2023-03-26,2018.0,,2018.0,Arkansas,T,T
Older Brother,Mar 26,Turf R – “[multiple] fractures”,2023,"(5, 6)",R,“[multiple] fractures”,Turf,2023-03-26,2015.0,2015.0,2015.0,Arizona,TQ,T and Q
Baytown Apollo,Mar 29,Keeneland T – “horse went down – severely comminuted scapula”,2023,"(10, 11)",T,“horse went down  severely comminuted scapula”,Keeneland,2023-03-29,,,2021.0,Kentucky,T,T
Nicos Clave 7,Mar 29,Turf R – “severed spine” (two years old),2023,"(5, 6)",R,“severed spine” (two years old),Turf,2023-03-29,,2020.0,,Arizona,TQ,Q
Hair of the Dog,Apr 1,Charles Town R – “fatal injury…euthanized on track”,2023,"(13, 14)",R,“fatal injury…euthanized on track”,Charles Town,2023-04-01,2017.0,,2017.0,West Virginia,T,T
Haveulostyourmind,Apr 1,"Turf T – “hemorrhage, sudden death”",2023,"(5, 6)",T,"“hemorrhage, sudden death”",Turf,2023-04-01,2017.0,,2017.0,Arizona,TQ,T
Bee Bop It,Apr 2,Charles Town T – “shoulder fracture” (being prepped for debut),2023,"(13, 14)",T,“shoulder fracture” (being prepped for debut),Charles Town,2023-04-02,,,2020.0,West Virginia,T,T
Meetmeinkingston,Apr 2,Gulfstream R – “under distress…euthanized”,2023,"(11, 12)",R,“under distress…euthanized”,Gulfstream,2023-04-02,2018.0,,2018.0,Florida,T,T
Hello Jamrock,Apr 2,"Laurel R (euth Apr 11) – “hit hind end in gate, developed laminitis”",2023,"(7, 8)",R,"(euth Apr 11)  “hit hind end in gate, developed laminitis”",Laurel,2023-04-02,2019.0,,2019.0,Maryland,T,T
Autism Ability,Apr 2,"Los Alamitos R – “fell in turn, bleeding from nose, died immediately”",2023,"(13, 14)",R,"“fell in turn, bleeding from nose, died immediately”",Los Alamitos,2023-04-02,2018.0,,2018.0,California,TQ,T
W F Iron Maiden,Apr 2,Sunland R – “fractured ankle”,2023,"(8, 9)",R,“fractured ankle”,Sunland,2023-04-02,2020.0,,2020.0,New Mexico,TQ,T
Cable Channel,Apr 3,"Keeneland T – “multiple fractures, extensive soft tissue damage”",2023,"(10, 11)",T,"“multiple fractures, extensive soft tissue damage”",Keeneland,2023-04-03,2016.0,,2016.0,Kentucky,T,T
Corky's Cause,Apr 3,"Parx R – “injured, vanned off, euthanized”",2023,"(5, 6)",R,"“injured, vanned off, euthanized”",Parx,2023-04-03,2019.0,,2019.0,Pennsylvania,T,T
Crb Bella,Apr 3,"Sam Houston T – “slab fracture” (two years old, being prepped for debut)",2023,"(12, 13)",T,"“slab fracture” (two years old, being prepped for debut)",Sam Houston,2023-04-03,,,,Texas,TQ,Q
Hesa Charmer,Apr 3,Tioga T – “expired while training”,2023,"(6, 7)",T,“expired while training”,Tioga,2023-04-03,,,,New York,H,H
Another Wine,Apr 3,Turf T – “[multiple] fractures” (three years old),2023,"(5, 6)",T,“[multiple] fractures” (three years old),Turf,2023-04-03,2019.0,,2019.0,Arizona,TQ,T
Waites Kingdom,Apr 5,Mahoning R – “took a bad step…was euthanized”,2023,"(9, 10)",R,“took a bad step…was euthanized”,Mahoning,2023-04-05,2019.0,,2019.0,Ohio,T,T
Friend,Apr 5,Mahoning R – “horse fractured RF during race”,2023,"(9, 10)",R,“horse fractured RF during race”,Mahoning,2023-04-05,2019.0,,2019.0,Ohio,T,T
Fancy Liquor,Apr 7,"Keeneland R (euth days later) – “injured, surgery, euthanized”",2023,"(10, 11)",R,"(euth days later)  “injured, surgery, euthanized”",Keeneland,2023-04-07,2017.0,,2017.0,Kentucky,T,T
Maajaackkobe,Apr 7,Yonkers R – “broke his leg during the 5th race”,2023,"(8, 9)",R,“broke his leg during the 5th race”,Yonkers,2023-04-07,,,,New York,H,H
Practical Julia,Apr 8,"Aqueduct R – “injured, vanned off, [euthanized]”",2023,"(9, 10)",R,"“injured, vanned off, [euthanized]”",Aqueduct,2023-04-08,2019.0,,2019.0,New York,T,T
Montana'sbigsunset,Apr 8,Finger Lakes T – “sudden death” (four years old),2023,"(13, 14)",T,“sudden death” (four years old),Finger Lakes,2023-04-08,2018.0,,2018.0,New York,T,T
Levity,Apr 8,Keeneland T – “pulled up 5/5 lame: comminuted fracture”,2023,"(10, 11)",T,“pulled up 5/5 lame: comminuted fracture”,Keeneland,2023-04-08,2019.0,,2019.0,Kentucky,T,T
We Call Him Clyde,Apr 8,"Laurel T – “comminuted pastern fracture, severe bleeding ulcer”",2023,"(7, 8)",T,"“comminuted pastern fracture, severe bleeding ulcer”",Laurel,2023-04-08,2020.0,,2020.0,Maryland,T,T
Notion Street,Apr 8,Laurel T – “multiple fractures”,2023,"(7, 8)",T,“multiple fractures”,Laurel,2023-04-08,2020.0,,2020.0,Maryland,T,T
Explain,Apr 11,Parx T – “sudden death” (five years old),2023,"(5, 6)",T,“sudden death” (five years old),Parx,2023-04-11,2018.0,,2018.0,Pennsylvania,T,T
Blue Paynt,Apr 12,"Belmont T – “fracture, transported to barn, euthanized”",2023,"(8, 9)",T,"“fracture, transported to barn, euthanized”",Belmont,2023-04-12,2018.0,,2018.0,New York,T,T
Goin to the Show,Apr 13,"Keeneland R – “[multiple] fractures, severe soft tissue damage”",2023,"(10, 11)",R,"“[multiple] fractures, severe soft tissue damage”",Keeneland,2023-04-13,2019.0,,2019.0,Kentucky,T,T
Semi Charmed Life,Apr 14,"Evangeline R – “[multiple] fractures, suspensory rupture”",2023,"(11, 12)",R,"“[multiple] fractures, suspensory rupture”",Evangeline,2023-04-14,2018.0,,2018.0,Louisiana,TQ,T
Twinkling Irish,Apr 14,"Oaklawn R (euth Apr 28) – “open, comminuted fracture [reinjured]”",2023,"(8, 9)",R,"(euth Apr 28)  “open, comminuted fracture [reinjured]”",Oaklawn,2023-04-14,2020.0,,2020.0,Arkansas,T,T
Kiss Me D Oro,Apr 15,"Lone Star R – “[multiple] fractures, euthanized on track”",2023,"(10, 11)",R,"“[multiple] fractures, euthanized on track”",Lone Star,2023-04-15,2018.0,,2018.0,Texas,TQ,T
Jlc Hey Good Lookin,Apr 15,"Retama T – “slab fracture” (two years old, being prepped for debut)",2023,"(7, 8)",T,"“slab fracture” (two years old, being prepped for debut)",Retama,2023-04-15,,,,Texas,Q,Q
Singing the Oldies,Apr 16,Gulfstream R – “fell…euthanized”,2023,"(11, 12)",R,“fell…euthanized”,Gulfstream,2023-04-16,2020.0,,2020.0,Florida,T,T
Jammin Jimtown,Apr 18,Charles Town T – “condylar fracture”,2023,"(13, 14)",T,“condylar fracture”,Charles Town,2023-04-18,2016.0,,2016.0,West Virginia,T,T
Witty Banter,Apr 18,Laurel T – “rider heard loud pop: multiple fractures”,2023,"(7, 8)",T,“rider heard loud pop: multiple fractures”,Laurel,2023-04-18,2016.0,,2016.0,Maryland,T,T
Master of the Ring,Apr 19,Keeneland R – “fell: [multiple] comminuted fractures and tears”,2023,"(10, 11)",R,“fell: [multiple] comminuted fractures and tears”,Keeneland,2023-04-19,2018.0,,2018.0,Kentucky,T,T
Rileys Dude,Apr 19,"Penn R – “went bad, vanned off, euthanized”",2023,"(5, 6)",R,"“went bad, vanned off, euthanized”",Penn,2023-04-19,2018.0,,2018.0,Pennsylvania,T,T
Golden Pegasus,Apr 20,"Laurel R – “multiple fractures, tremendous soft tissue damage”",2023,"(7, 8)",R,"“multiple fractures, tremendous soft tissue damage”",Laurel,2023-04-20,2019.0,,2019.0,Maryland,T,T
Bigmancan,Apr 20,"Laurel R – “comminuted, displaced fracture”",2023,"(7, 8)",R,"“comminuted, displaced fracture”",Laurel,2023-04-20,2017.0,,2017.0,Maryland,T,T
Mia Testarossa,Apr 20,Thistledown T – “horse broke leg during morning gallop”,2023,"(12, 13)",T,“horse broke leg during morning gallop”,Thistledown,2023-04-20,,,,Ohio,T,T
Strong Silent,Apr 22,Gulfstream R – “tried to jump fallen foe…euthanized”,2023,"(11, 12)",R,“tried to jump fallen foe…euthanized”,Gulfstream,2023-04-22,2018.0,,2018.0,Florida,T,T
Lionessofbrittany,Apr 22,Gulfstream R – “fell…euthanized”,2023,"(11, 12)",R,“fell…euthanized”,Gulfstream,2023-04-22,2018.0,,2018.0,Florida,T,T
Wolfe County,Apr 26,"Keeneland R – “[multiple] fractures, [multiple] ruptures”",2023,"(10, 11)",R,"“[multiple] fractures, [multiple] ruptures”",Keeneland,2023-04-26,2019.0,,2019.0,Kentucky,T,T
Unkoalafied,Apr 26,Parx T – “sudden death” (four years old),2023,"(5, 6)",T,“sudden death” (four years old),Parx,2023-04-26,2019.0,,2019.0,Pennsylvania,T,T
Wild On Ice,Apr 27,"Churchill T – “injured, [euthanized]”",2023,"(10, 11)",T,"“injured, [euthanized]”",Churchill,2023-04-27,2020.0,,2020.0,Kentucky,T,T
Edge of Night,Apr 27,Thistledown R (euth several days later) – “serious limb injury”,2023,"(12, 13)",R,(euth several days later)  “serious limb injury”,Thistledown,2023-04-27,2017.0,,2017.0,Ohio,T,T
Perceived,Apr 28,"Aqueduct R – “injured after finish, euthanized on track”",2023,"(9, 10)",R,"“injured after finish, euthanized on track”",Aqueduct,2023-04-28,2016.0,,2016.0,New York,T,T
Code of Kings,Apr 29,"Churchill R – “flipped multiple times, broke neck”",2023,"(10, 11)",R,"“flipped multiple times, broke neck”",Churchill,2023-04-29,2020.0,,2020.0,Kentucky,T,T
Parents Pride,Apr 29,"Churchill R – “horse pulled up, went down, became agonal, died” (four years old)",2023,"(10, 11)",R,"“horse pulled up, went down, became agonal, died” (four years old)",Churchill,2023-04-29,2019.0,,2019.0,Kentucky,T,T
Mister Tsunami,Apr 29,Delta R – “acute open fracture” (two years old),2023,"(6, 7)",R,“acute open fracture” (two years old),Delta,2023-04-29,,2021.0,,Louisiana,TQ,Q
Pretty Gita,Apr 29,Fairmount R – “fetlock fracture”,2023,"(10, 11)",R,“fetlock fracture”,Fairmount,2023-04-29,2016.0,,2016.0,Illinois,T,T
Speed Alert,Apr 29,"Foxfield R – “[multiple] fractures, [multiple] ruptures”",2023,"(9, 10)",R,"“[multiple] fractures, [multiple] ruptures”",Foxfield,2023-04-29,2016.0,,2016.0,Virginia,T,T
Crazy Dreams,Apr 29,"Golden Gate R – “[multiple] fractures, [multiple] ruptures”",2023,"(12, 13)",R,"“[multiple] fractures, [multiple] ruptures”",Golden Gate,2023-04-29,2019.0,,2019.0,California,T,T
First Empress,Apr 29,Oaklawn R – “collapsed at 3/16 pole – open cannon fracture”,2023,"(8, 9)",R,“collapsed at 3/16 pole  open cannon fracture”,Oaklawn,2023-04-29,2017.0,,2017.0,Arkansas,T,T
Flash of Mischief,Apr 30,Lone Star R – “[multiple] fractures”,2023,"(10, 11)",R,“[multiple] fractures”,Lone Star,2023-04-30,2018.0,,2018.0,Texas,TQ,T
Mamzooj,Apr 30,Oaklawn R – “[multiple] fractures – euthanized in ambulance”,2023,"(8, 9)",R,“[multiple] fractures  euthanized in ambulance”,Oaklawn,2023-04-30,2019.0,,2019.0,Arkansas,T,T
Take Charge Briana,May 2,"Churchill R – “[multiple] fractures, fetlock open and disarticulated”",2023,"(10, 11)",R,"“[multiple] fractures, fetlock open and disarticulated”",Churchill,2023-05-02,2020.0,,2020.0,Kentucky,T,T
Chasing Artie,May 2,"Churchill R – “horse staggered, collapsed, became agonal, [died]”",2023,"(10, 11)",R,"“horse staggered, collapsed, became agonal, [died]”",Churchill,2023-05-02,2018.0,,2018.0,Kentucky,T,T
Kadens Courage,May 2,"Parx R – “fell, catastrophic injury, euthanized”",2023,"(5, 6)",R,"“fell, catastrophic injury, euthanized”",Parx,2023-05-02,2016.0,,2016.0,Pennsylvania,T,T
Blue Agave,May 2,Thistledown R (euth May 3) – “horse became lame cooling out – fractured ankle”,2023,"(12, 13)",R,(euth May 3)  “horse became lame cooling out  fractured ankle”,Thistledown,2023-05-02,2020.0,,2020.0,Ohio,T,T
Flyin Jewel,May 4,Delta R – “severe compound fracture” (two years old),2023,"(6, 7)",R,“severe compound fracture” (two years old),Delta,2023-05-04,,2021.0,,Louisiana,TQ,Q
Freudian Fate,May 4,Oaklawn R – “[multiple] fractures”,2023,"(8, 9)",R,“[multiple] fractures”,Oaklawn,2023-05-04,2016.0,,2016.0,Arkansas,T,T
Sunshine Linda,May 4,"Penn T – “injured, euthanized”",2023,"(5, 6)",T,"“injured, euthanized”",Penn,2023-05-04,2019.0,,2019.0,Pennsylvania,T,T
Big Valentina,May 6,Charles Town T – “femur fracture” (being prepped for debut),2023,"(13, 14)",T,“femur fracture” (being prepped for debut),Charles Town,2023-05-06,,,2020.0,West Virginia,T,T
Chloe's Dream,May 6,Churchill R – “went wrong: multiple fractures”,2023,"(10, 11)",R,“went wrong: multiple fractures”,Churchill,2023-05-06,2020.0,,2020.0,Kentucky,T,T
Freezing Point,May 6,"Churchill R – “[multiple] fractures, [multiple] tendons severely torn”",2023,"(10, 11)",R,"“[multiple] fractures, [multiple] tendons severely torn”",Churchill,2023-05-06,2020.0,,2020.0,Kentucky,T,T
Tapwood,May 6,Great Meadow R – “collapsed and died” (five years old),2023,"(13, 14)",R,“collapsed and died” (five years old),Great Meadow,2023-05-06,2018.0,,2018.0,Virginia,T,T
Fire and Spice,May 7,"Hawthorne T – “compound fracture, disarticulated fetlock”",2023,"(10, 11)",T,"“compound fracture, disarticulated fetlock”",Hawthorne,2023-05-07,,,2020.0,Illinois,T,T
Mon Paradis,May 9,"Mountaineer R – “[multiple] fractures, rupture”",2023,"(12, 13)",R,"“[multiple] fractures, rupture”",Mountaineer,2023-05-09,2018.0,,2018.0,West Virginia,T,T
Beav's Boo,May 9,Thistledown R – “horse fractured ankle at 5/8 pole”,2023,"(12, 13)",R,“horse fractured ankle at 5/8 pole”,Thistledown,2023-05-09,2017.0,,2017.0,Ohio,T,T
Rocket's Castle,May 11,Charles Town R (euth May 12) – “carpus fracture”,2023,"(13, 14)",R,(euth May 12)  “carpus fracture”,Charles Town,2023-05-11,2018.0,,2018.0,West Virginia,T,T
Singsong Bird,May 12,"Belterra R – “fracture was open, exposing fetlock joint”",2023,"(9, 10)",R,"“fracture was open, exposing fetlock joint”",Belterra,2023-05-12,2016.0,,2016.0,Ohio,T,T
Charm City Band,May 12,Charles Town T (euth May 17) – “carpus fracture”,2023,"(13, 14)",T,(euth May 17)  “carpus fracture”,Charles Town,2023-05-12,2017.0,,2017.0,West Virginia,T,T
Reed Kan,May 13,"Belmont R – “injured, vanned off, euthanized”",2023,"(8, 9)",R,"“injured, vanned off, euthanized”",Belmont,2023-05-13,2015.0,,2015.0,New York,T,T
Bosque Redondo,May 13,"Churchill R (euth May 15) – “[multiple] fractures, multiple fragments”",2023,"(10, 11)",R,"(euth May 15)  “[multiple] fractures, multiple fragments”",Churchill,2023-05-13,2019.0,,2019.0,Kentucky,T,T
Magic Knight,May 13,Delta R – “open fracture”,2023,"(6, 7)",R,“open fracture”,Delta,2023-05-13,,2019.0,,Louisiana,TQ,Q
Make Sure Its Cold,May 13,"Meadows T – “injured, euthanized”",2023,"(8, 9)",T,"“injured, euthanized”",Meadows,2023-05-13,,,,Pennsylvania,H,H
Rio Moon,May 14,"Churchill R – “open fracture, fragments imbedded in the ligament”",2023,"(10, 11)",R,"“open fracture, fragments imbedded in the ligament”",Churchill,2023-05-14,2020.0,,2020.0,Kentucky,T,T
Gatto Marrone,May 14,"Mountaineer R – “collapsed, died: pulmonary hemorrhage”",2023,"(12, 13)",R,"“collapsed, died: pulmonary hemorrhage”",Mountaineer,2023-05-14,2017.0,,2017.0,West Virginia,T,T
Major General,May 17,"Churchill T – “came back lethargic and trembling, died in transit to hospital”",2023,"(10, 11)",T,"“came back lethargic and trembling, died in transit to hospital”",Churchill,2023-05-17,2019.0,,2019.0,Kentucky,T,T
Distractandattack,May 17,"Parx R – “injured, vanned off, euthanized”",2023,"(5, 6)",R,"“injured, vanned off, euthanized”",Parx,2023-05-17,2018.0,,2018.0,Pennsylvania,T,T
Good Culture,May 17,Parx R – “suffered catastrophic injury…euthanized”,2023,"(5, 6)",R,“suffered catastrophic injury…euthanized”,Parx,2023-05-17,2018.0,,2018.0,Pennsylvania,T,T
Swanson Lake,May 20,Churchill R – “multiple [at least 4] fractures within fetlock joint”,2023,"(10, 11)",R,“multiple [at least 4] fractures within fetlock joint”,Churchill,2023-05-20,2020.0,,2020.0,Kentucky,T,T
Havnameltdown,May 20,"Pimlico R – “open, disarticulated fetlock; severe tendon damage”",2023,"(8, 9)",R,"“open, disarticulated fetlock; severe tendon damage”",Pimlico,2023-05-20,2020.0,,2020.0,Maryland,T,T
Carolina Mia,May 21,"Golden Gate R – “injured, vanned off, euthanized”",2023,"(12, 13)",R,"“injured, vanned off, euthanized”",Golden Gate,2023-05-21,2017.0,,2017.0,California,T,T
Arneis,May 23,Fairmount R – “catastrophic failure of suspensory apparatus”,2023,"(10, 11)",R,“catastrophic failure of suspensory apparatus”,Fairmount,2023-05-23,2019.0,,2019.0,Illinois,T,T
Imagine Gold,May 23,"Hawthorne T – “carpus injury, intractable pain”",2023,"(10, 11)",T,"“carpus injury, intractable pain”",Hawthorne,2023-05-23,2017.0,,2017.0,Illinois,T,T
Enchantedly,May 23,"Horseshoe R – “[multiple] fractures, suspensory failure”",2023,"(10, 11)",R,"“[multiple] fractures, suspensory failure”",Horseshoe,2023-05-23,2019.0,,2019.0,Indiana,TQ,T
Acasha's Intuition,May 25,Charles Town R – “MCIII fracture”,2023,"(13, 14)",R,“MCIII fracture”,Charles Town,2023-05-25,2018.0,,2018.0,West Virginia,T,T
Impazible Donna,May 26,"Belmont R (euth Jun 2) – “injured, vanned off, pneumonia”",2023,"(8, 9)",R,"(euth Jun 2)  “injured, vanned off, pneumonia”",Belmont,2023-05-26,2017.0,,2017.0,New York,T,T
Lost in Limbo,May 26,"Churchill R – “fell violently: [multiple] fractures, [multiple] ruptures”",2023,"(10, 11)",R,"“fell violently: [multiple] fractures, [multiple] ruptures”",Churchill,2023-05-26,2016.0,,2016.0,Kentucky,T,T
Troubling Moon,May 27,Belmont T – “suffered sudden cardiac death event”,2023,"(8, 9)",T,“suffered sudden cardiac death event”,Belmont,2023-05-27,2015.0,,2015.0,New York,T,T
Kimberley Dream,May 27,"Churchill R – “avulsion fracture, [multiple] ruptures, severe tearing”",2023,"(10, 11)",R,"“avulsion fracture, [multiple] ruptures, severe tearing”",Churchill,2023-05-27,2016.0,,2016.0,Kentucky,T,T
Cool Hot Chic,May 27,"Evangeline R – “[multiple] open, displaced fractures”",2023,"(11, 12)",R,"“[multiple] open, displaced fractures”",Evangeline,2023-05-27,2020.0,,2020.0,Louisiana,TQ,T
Coconut Beach,May 27,"Monmouth T – “pulmonary hemorrhage, copious amounts of blood”",2023,"(9, 10)",T,"“pulmonary hemorrhage, copious amounts of blood”",Monmouth,2023-05-27,2018.0,,2018.0,New Jersey,T,T
Battle Station,May 28,"Belmont T – “injured, euthanized”",2023,"(8, 9)",T,"“injured, euthanized”",Belmont,2023-05-28,2015.0,,2015.0,New York,T,T
Ivory Senator,May 28,"Ruidoso R – “vanned off, euthanized”",2023,"(8, 9)",R,"“vanned off, euthanized”",Ruidoso,2023-05-28,,2020.0,,New Mexico,Q,Q
Mach West,May 28,Tioga R – “collapsed and deemed expired”,2023,"(6, 7)",R,“collapsed and deemed expired”,Tioga,2023-05-28,,,,New York,H,H
Lady Kvn,May 30,"Horseshoe R – “vertebral fracture, spinal cord tear” (first ever race)",2023,"(10, 11)",R,"“vertebral fracture, spinal cord tear” (first ever race)",Horseshoe,2023-05-30,,2021.0,,Indiana,TQ,Q
Chaysenbryn,Jun 1,Belmont R – “suffered an injury…euthanized on track”,2023,"(8, 9)",R,“suffered an injury…euthanized on track”,Belmont,2023-06-01,2017.0,,2017.0,New York,T,T
One Night Mike,Jun 2,Charles Town T – “pastern fracture”,2023,"(13, 14)",T,“pastern fracture”,Charles Town,2023-06-02,2019.0,,2019.0,West Virginia,T,T
Bds Got a Rogue One,Jun 3,Wyoming R – “fractured cannon past wire”,2023,"(8, 9)",R,“fractured cannon past wire”,Wyoming,2023-06-03,,2020.0,,Wyoming,TQ,Q
Pirate Bird,Jun 4,Hawthorne R (euth Jun 6) – “lame after racing – multiple fractures”,2023,"(10, 11)",R,(euth Jun 6)  “lame after racing  multiple fractures”,Hawthorne,2023-06-04,2018.0,,2018.0,Illinois,T,T
