name,date,notes,year,split_index,race_train_stall,details,track,date_dt,fy_TB,fy_QH,fy_pq,State,Types,TB
Jamminjl,Jun 4,"Monmouth R – “disarticulated fetlock, extensive hemorrhage”",2023,"(9, 10)",R,"“disarticulated fetlock, extensive hemorrhage”",Monmouth,2023-06-04,2017.0,,2017.0,New Jersey,T,T
Lambrusco,Jun 5,Thistledown T – “horse fractured shoulder during morning gallop”,2023,"(12, 13)",T,“horse fractured shoulder during morning gallop”,Thistledown,2023-06-05,2020.0,,2020.0,Ohio,T,T
Shack the Life,Jun 5,Thistledown R – “horse collapsed and died at 1/8 pole” (five years old),2023,"(12, 13)",R,“horse collapsed and died at 1/8 pole” (five years old),Thistledown,2023-06-05,2018.0,,2018.0,Ohio,T,T
Trinni Summer,Jun 6,Mountaineer R – “took a bad step: fetlock fracture/luxation”,2023,"(12, 13)",R,“took a bad step: fetlock fracture/luxation”,Mountaineer,2023-06-06,2018.0,,2018.0,West Virginia,T,T
Auntie Mimi,Jun 8,Santa Anita T – “musculoskeletal”,2023,"(12, 13)",T,“musculoskeletal”,Santa Anita,2023-06-08,2019.0,,2019.0,California,T,T
Mickey Goldmill,Jun 9,Lone Star T – “[multiple] fractures – muddy track”,2023,"(10, 11)",T,“[multiple] fractures  muddy track”,Lone Star,2023-06-09,2020.0,,2020.0,Texas,TQ,T
Excursionniste,Jun 10,Belmont R – “suffered injury…euthanized on the track”,2023,"(8, 9)",R,“suffered injury…euthanized on the track”,Belmont,2023-06-10,2019.0,,2019.0,New York,T,T
Edelstein,Jun 10,Energy R – “fractured cannon right before wire”,2023,"(7, 8)",R,“fractured cannon right before wire”,Energy,2023-06-10,,2020.0,,Wyoming,TQ,Q
Toss of Fate,Jun 10,Horseshoe R – “compound fracture”,2023,"(10, 11)",R,“compound fracture”,Horseshoe,2023-06-10,2016.0,,2016.0,Indiana,TQ,T
Gold Vermilion,Jun 10,"Lone Star R – “[multiple] fractures, ligament rupture”",2023,"(10, 11)",R,"“[multiple] fractures, ligament rupture”",Lone Star,2023-06-10,2018.0,,2018.0,Texas,TQ,T
Mashnee Girl,Jun 11,Belmont R – “fell…euthanized on the track”,2023,"(8, 9)",R,“fell…euthanized on the track”,Belmont,2023-06-11,2018.0,,2018.0,New York,T,T
Ulele's Spirit,Jun 11,"Churchill T – “pulled up with severe lameness, found dead [later] – pelvis fractures”",2023,"(10, 11)",T,"“pulled up with severe lameness, found dead [later]  pelvis fractures”",Churchill,2023-06-11,,,2021.0,Kentucky,T,T
Fort Peck,Jun 13,Fairmount T – “metacarpal fracture”,2023,"(10, 11)",T,“metacarpal fracture”,Fairmount,2023-06-13,2015.0,,2015.0,Illinois,T,T
Oxwood,Jun 15,Belterra R – “disarticulated fetlock with 90-degree lateral deviation”,2023,"(9, 10)",R,“disarticulated fetlock with 90-degree lateral deviation”,Belterra,2023-06-15,2018.0,,2018.0,Ohio,T,T
Great Baroness,Jun 15,"Penn R – “went bad, vanned off, euthanized”",2023,"(5, 6)",R,"“went bad, vanned off, euthanized”",Penn,2023-06-15,2018.0,,2018.0,Pennsylvania,T,T
Gagliano,Jun 17,Belmont T (euth Jun 23) – “suffered injury Jun 17; refractured Jun 23”,2023,"(8, 9)",T,(euth Jun 23)  “suffered injury Jun 17; refractured Jun 23”,Belmont,2023-06-17,2017.0,,2017.0,New York,T,T
Outkast Blue Chip,Jun 17,"Buffalo R – “stopped, collapsed, [and died]”",2023,"(8, 9)",R,"“stopped, collapsed, [and died]”",Buffalo,2023-06-17,,,,New York,H,H
Bikini Baby,Jun 17,"Monmouth R (euth Jun 18) – “[multiple] fractures, [multiple] ruptures”",2023,"(9, 10)",R,"(euth Jun 18)  “[multiple] fractures, [multiple] ruptures”",Monmouth,2023-06-17,2018.0,,2018.0,New Jersey,T,T
Pappies Sue,Jun 17,"Wyoming R – “fractured shoulder” (two years old, first race)",2023,"(8, 9)",R,"“fractured shoulder” (two years old, first race)",Wyoming,2023-06-17,,2021.0,,Wyoming,TQ,Q
Die Antwoord,Jun 17,"Wyoming R – “broke back” (two years old, first race)",2023,"(8, 9)",R,"“broke back” (two years old, first race)",Wyoming,2023-06-17,,2021.0,,Wyoming,TQ,Q
Rip Stone,Jun 17,"Wyoming R – “fractured shoulder” (two years old, second race)",2023,"(8, 9)",R,"“fractured shoulder” (two years old, second race)",Wyoming,2023-06-17,,2021.0,,Wyoming,TQ,Q
Ambassador Mike,Jun 18,Hawthorne R – “fetlock fracture”,2023,"(10, 11)",R,“fetlock fracture”,Hawthorne,2023-06-18,2019.0,,2019.0,Illinois,T,T
Star Rider,Jun 18,Mountaineer R – “skull fracture”,2023,"(12, 13)",R,“skull fracture”,Mountaineer,2023-06-18,2018.0,,2018.0,West Virginia,T,T
Majestic Seas,Jun 18,Mountaineer R – “fetlock fracture/luxation”,2023,"(12, 13)",R,“fetlock fracture/luxation”,Mountaineer,2023-06-18,2015.0,,2015.0,West Virginia,T,T
Tizhelnow,Jun 19,Belterra T – “suspected fractured humerus”,2023,"(9, 10)",T,“suspected fractured humerus”,Belterra,2023-06-19,,,2018.0,Ohio,T,T
No Ill Will,Jun 22,Horseshoe R – “condylar fracture”,2023,"(10, 11)",R,“condylar fracture”,Horseshoe,2023-06-22,2020.0,,2020.0,Indiana,TQ,T
Im a Modest Man,Jun 24,"Ellis R – “comminuted fracture, [multiple] torn ligaments/tendons”",2023,"(6, 7)",R,"“comminuted fracture, [multiple] torn ligaments/tendons”",Ellis,2023-06-24,2020.0,,2020.0,Kentucky,T,T
Just a Notion,Jun 24,"Horseshoe T – “[multiple] fractures, [one] open”",2023,"(10, 11)",T,"“[multiple] fractures, [one] open”",Horseshoe,2023-06-24,2019.0,,2019.0,Indiana,TQ,T
Aztar,Jun 24,Louisiana R – “LF fracture”,2023,"(10, 11)",R,“LF fracture”,Louisiana,2023-06-24,2018.0,,2018.0,Louisiana,TQ,T
yet-to-be-named 3-year-old,Jun 25,Belmont T – “injured breezing…euthanized”,2023,"(8, 9)",T,“injured breezing…euthanized”,Belmont,2023-06-25,,,,New York,T,T
Fire Stel,Jun 25,"Los Alamitos R – “fell, vanned off, euthanized”",2023,"(13, 14)",R,"“fell, vanned off, euthanized”",Los Alamitos,2023-06-25,,2020.0,,California,TQ,Q
Bailey Coffee,Jun 25,"Mountaineer R – “hit rail, ruptured ligament”",2023,"(12, 13)",R,"“hit rail, ruptured ligament”",Mountaineer,2023-06-25,2019.0,,2019.0,West Virginia,T,T
Red Bird,Jun 27,Fairmount R – “fell: pelvis fracture”,2023,"(10, 11)",R,“fell: pelvis fracture”,Fairmount,2023-06-27,2020.0,,2020.0,Illinois,T,T
Runlikejackieo,Jun 27,Thistledown R – “horse fractured ankle at 3/8 pole”,2023,"(12, 13)",R,“horse fractured ankle at 3/8 pole”,Thistledown,2023-06-27,2019.0,,2019.0,Ohio,T,T
K D Bubba,Jun 29,"Lone Star T – “breakdown: fracture through physis, euthanized on track”",2023,"(10, 11)",T,"“breakdown: fracture through physis, euthanized on track”",Lone Star,2023-06-29,,,,Texas,TQ,T
Pronto Charli,Jun 30,Belterra R – “[multiple] fractures”,2023,"(9, 10)",R,“[multiple] fractures”,Belterra,2023-06-30,2020.0,,2020.0,Ohio,T,T
Psycho Dar,Jul 1,Pleasanton R – “took a bad step”,2023,"(11, 12)",R,“took a bad step”,Pleasanton,2023-07-01,2015.0,,2015.0,California,T,T
Animae,Jul 1,"Santa Anita T (two years old, being prepped for debut)",2023,"(12, 13)",T,"(two years old, being prepped for debut)",Santa Anita,2023-07-01,,,2021.0,California,T,T
Mikibytheseaside,Jul 1,Saratoga Harness R – “collision at 3/4 pole”,2023,"(17, 18)",R,“collision at 3/4 pole”,Saratoga Harness,2023-07-01,,,,New York,H,H
Black Dot Dan,Jul 1,"Wyoming R – “fractured shoulder” (two years old, second race)",2023,"(8, 9)",R,"“fractured shoulder” (two years old, second race)",Wyoming,2023-07-01,,2021.0,,Wyoming,TQ,Q
La Socia Reyna,Jul 2,Gillespie R – “hit rail: compound fracture with multiple lacerations” (two years old),2023,"(10, 11)",R,“hit rail: compound fracture with multiple lacerations” (two years old),Gillespie,2023-07-02,,2021.0,,Texas,TQ,Q
Twentyseventrouts,Jul 2,"Los Alamitos R – “fell, vanned off, euthanized”",2023,"(13, 14)",R,"“fell, vanned off, euthanized”",Los Alamitos,2023-07-02,2017.0,,2017.0,California,TQ,T
Bingo's Girl,Jul 2,Monmouth R (euth Jul 8) – “fell over fallen rival”,2023,"(9, 10)",R,(euth Jul 8)  “fell over fallen rival”,Monmouth,2023-07-02,2021.0,,2021.0,New Jersey,T,T
Classic Coyne,Jul 2,Santa Anita T,2023,"(12, 13)",T,,Santa Anita,2023-07-02,2019.0,,2019.0,California,T,T
Cold Hard Cash,Jul 3,Belmont R – “collapsed – fatal cardiac event”,2023,"(8, 9)",R,“collapsed  fatal cardiac event”,Belmont,2023-07-03,2017.0,,2017.0,New York,T,T
Buttoned Up,Jul 6,"Charles Town R – “suffered fatal injury, euthanized on track”",2023,"(13, 14)",R,"“suffered fatal injury, euthanized on track”",Charles Town,2023-07-06,2019.0,,2019.0,West Virginia,T,T
Seize the City,Jul 7,Belmont R – “suffered injury to left foreleg…euthanized”,2023,"(8, 9)",R,“suffered injury to left foreleg…euthanized”,Belmont,2023-07-07,2020.0,,2020.0,New York,T,T
A Flashin Cartel,Jul 8,"Wyoming R – “fractured shoulder” (two years old, second race)",2023,"(8, 9)",R,"“fractured shoulder” (two years old, second race)",Wyoming,2023-07-08,,2021.0,,Wyoming,TQ,Q
Tw Triffle Volcom,Jul 8,Wyoming R – “head injury in gate”,2023,"(8, 9)",R,“head injury in gate”,Wyoming,2023-07-08,,2020.0,,Wyoming,TQ,Q
Pave My Way,Jul 11,"Finger Lakes R – “appeared in distress, vanned off, euthanized”",2023,"(13, 14)",R,"“appeared in distress, vanned off, euthanized”",Finger Lakes,2023-07-11,2019.0,,2019.0,New York,T,T
Classic Landing,Jul 14,Meadowlands R,2023,"(12, 13)",R,,Meadowlands,2023-07-14,,,,New Jersey,TH,H
Coronas Make Me Wild,Jul 15,Gillespie R – “broke down”,2023,"(10, 11)",R,“broke down”,Gillespie,2023-07-15,,2019.0,,Texas,TQ,Q
Frigid Lady,Jul 15,Saratoga T – “broke RF leg”,2023,"(9, 10)",T,“broke RF leg”,Saratoga,2023-07-15,2020.0,,2020.0,New York,T,T
Shweet Persuasion,Jul 15,"Wyoming R – “fractured fetlock” (nine years old, 65th race)",2023,"(8, 9)",R,"“fractured fetlock” (nine years old, 65th race)",Wyoming,2023-07-15,2014.0,,2014.0,Wyoming,TQ,T
Luckyginger,Jul 16,"Wyoming R – “fractured both front [limbs]” (three years old, first race)",2023,"(8, 9)",R,"“fractured both front [limbs]” (three years old, first race)",Wyoming,2023-07-16,,2020.0,,Wyoming,TQ,Q
Winter Son,Jul 20,"Saratoga T – “sustained injury while breezing, euthanized”",2023,"(9, 10)",T,"“sustained injury while breezing, euthanized”",Saratoga,2023-07-20,2019.0,,2019.0,New York,T,T
Morestride,Jul 20,"Thistledown R – “suffered catastrophic injury, fell, euthanized”",2023,"(12, 13)",R,"“suffered catastrophic injury, fell, euthanized”",Thistledown,2023-07-20,2018.0,,2018.0,Ohio,T,T
Dreaming of Toga,Jul 22,"Monmouth R – “injured, vanned off, euthanized”",2023,"(9, 10)",R,"“injured, vanned off, euthanized”",Monmouth,2023-07-22,2020.0,,2020.0,New Jersey,T,T
Vasco,Jul 23,Pleasanton T,2023,"(11, 12)",T,,Pleasanton,2023-07-23,2019.0,,2019.0,California,T,T
Blame It On Mary,Jul 23,"Saratoga R – “injured, vanned off, euthanized”",2023,"(9, 10)",R,"“injured, vanned off, euthanized”",Saratoga,2023-07-23,2018.0,,2018.0,New York,T,T
Big Brad Soldier,Jul 25,"Finger Lakes R – “went down, fractured cannon, euthanized on track”",2023,"(13, 14)",R,"“went down, fractured cannon, euthanized on track”",Finger Lakes,2023-07-25,2020.0,,2020.0,New York,T,T
Caffine Ediction with Jog Bike,Jul 25,"Vernon T – “injured, [dead]”",2023,"(7, 8)",T,"“injured, [dead]”",Vernon,2023-07-25,,,,New York,H,H
Brick Town,Jul 27,Delaware R – “broke down inside 1/16 pole – euthanized in barn area”,2023,"(9, 10)",R,“broke down inside 1/16 pole  euthanized in barn area”,Delaware,2023-07-27,2019.0,,2019.0,Delaware,T,T
Nevisian Sunrise,Jul 27,Del Mar T – “collided with stationary object”,2023,"(8, 9)",T,“collided with stationary object”,Del Mar,2023-07-27,2018.0,,2018.0,California,T,T
Ghostem,Jul 29,Del Mar T – “non-operable injury”,2023,"(8, 9)",T,“non-operable injury”,Del Mar,2023-07-29,2019.0,,2019.0,California,T,T
Episode Five,Jul 29,Del Mar R (euth Aug 5) – “went wrong”,2023,"(8, 9)",R,(euth Aug 5)  “went wrong”,Del Mar,2023-07-29,2021.0,,2021.0,California,T,T
Holy Moly Abraham,Jul 30,"Ellis R – “catastrophic injury to RF, euthanized”",2023,"(6, 7)",R,"“catastrophic injury to RF, euthanized”",Ellis,2023-07-30,2020.0,,2020.0,Kentucky,T,T
Nosbor,Jul 30,North Dakota R – “broke down past wire”,2023,"(13, 14)",R,“broke down past wire”,North Dakota,2023-07-30,2018.0,,2018.0,North Dakota,TQ,T
Lawful,Aug 2,"Saratoga T – “suffered injury, euthanized”",2023,"(9, 10)",T,"“suffered injury, euthanized”",Saratoga,2023-08-02,2020.0,,2020.0,New York,T,T
Danehill Song,Aug 3,"Santa Rosa R – “took a bad step, vanned off, euthanized”",2023,"(11, 12)",R,"“took a bad step, vanned off, euthanized”",Santa Rosa,2023-08-03,2020.0,,2020.0,California,T,T
Sopran Basilea,Aug 3,"Saratoga R – “suffered injury on gallop-out, euthanized on course”",2023,"(9, 10)",R,"“suffered injury on gallop-out, euthanized on course”",Saratoga,2023-08-03,,,2018.0,New York,T,T
Loyal to a Fault,Aug 5,San Luis Rey T,2023,"(13, 14)",T,,San Luis Rey,2023-08-05,2020.0,,2020.0,California,T,T
Maple Leaf Mel,Aug 5,"Saratoga R – “suffered catastrophic injury, fell, euthanized on track”",2023,"(9, 10)",R,"“suffered catastrophic injury, fell, euthanized on track”",Saratoga,2023-08-05,2020.0,,2020.0,New York,T,T
Closed Caption,Aug 6,"Saratoga T – “pulled up, vanned off, euthanized”",2023,"(9, 10)",T,"“pulled up, vanned off, euthanized”",Saratoga,2023-08-06,2020.0,,2020.0,New York,T,T
Ever Summer,Aug 6,Saratoga R – “fell…euthanized on course”,2023,"(9, 10)",R,“fell…euthanized on course”,Saratoga,2023-08-06,2019.0,,2019.0,New York,T,T
Warrior Nation,Aug 7,"Finger Lakes R – “horse broke down, euthanized on the track”",2023,"(13, 14)",R,"“horse broke down, euthanized on the track”",Finger Lakes,2023-08-07,2018.0,,2018.0,New York,T,T
It's Your Call,Aug 8,"Thistledown R – “suffered catastrophic injury, euthanized”",2023,"(12, 13)",R,"“suffered catastrophic injury, euthanized”",Thistledown,2023-08-08,2017.0,,2017.0,Ohio,T,T
Flying Cowgirl 321,Aug 12,Los Alamitos R (euth Aug 14),2023,"(13, 14)",R,(euth Aug 14),Los Alamitos,2023-08-12,,2021.0,,California,TQ,Q
Seattle Bold,Aug 13,Emerald R – “appeared to go wrong”,2023,"(8, 9)",R,“appeared to go wrong”,Emerald,2023-08-13,2018.0,,2018.0,Washington,T,T
Wisecraken,Aug 16,"Saratoga R – “suffered injury, vanned off, euthanized”",2023,"(9, 10)",R,"“suffered injury, vanned off, euthanized”",Saratoga,2023-08-16,2020.0,,2020.0,New York,T,T
Vagabond Prayer,Aug 19,Del Mar T – “suffered injury…euthanized”,2023,"(8, 9)",T,“suffered injury…euthanized”,Del Mar,2023-08-19,2020.0,,2020.0,California,T,T
Going Going Gone,Aug 23,"Finger Lakes R – “appeared in distress, vanned off, euthanized”",2023,"(13, 14)",R,"“appeared in distress, vanned off, euthanized”",Finger Lakes,2023-08-23,2018.0,2019.0,2018.0,New York,T,T
Burning Bright,Aug 23,"Saratoga R – “suffered fatal cardiac event, hit rail, fell”",2023,"(9, 10)",R,"“suffered fatal cardiac event, hit rail, fell”",Saratoga,2023-08-23,2017.0,,2017.0,New York,T,T
La Aguililla,Aug 25,"Saratoga R – “injured, vanned off, euthanized”",2023,"(9, 10)",R,"“injured, vanned off, euthanized”",Saratoga,2023-08-25,2016.0,,2016.0,New York,T,T
Sbd Corazon,Aug 26,"Batavia R – “shattered pastern, not repairable, euthanized”",2023,"(8, 9)",R,"“shattered pastern, not repairable, euthanized”",Batavia,2023-08-26,,,,New York,H,H
Pastor T,Aug 26,Del Mar T – “sustained fatal injuries” (two years old),2023,"(8, 9)",T,“sustained fatal injuries” (two years old),Del Mar,2023-08-26,2021.0,,2021.0,California,T,T
Nobel,Aug 26,Saratoga R – “suffered catastrophic injury…euthanized on the course”,2023,"(9, 10)",R,“suffered catastrophic injury…euthanized on the course”,Saratoga,2023-08-26,2018.0,,2018.0,New York,T,T
New York Thunder,Aug 26,"Saratoga R – “suffered catastrophic injury, fell, euthanized on track”",2023,"(9, 10)",R,"“suffered catastrophic injury, fell, euthanized on track”",Saratoga,2023-08-26,2020.0,,2020.0,New York,T,T
Daredevil Bull,Aug 30,"Finger Lakes R – “broke down, humanely put to rest”",2023,"(13, 14)",R,"“broke down, humanely put to rest”",Finger Lakes,2023-08-30,2019.0,,2019.0,New York,T,T
Tout Ensemble,Aug 30,Mountaineer R – “euthanized on track after race”,2023,"(12, 13)",R,“euthanized on track after race”,Mountaineer,2023-08-30,2019.0,,2019.0,West Virginia,T,T
Nomo Ron,Aug 31,"Charles Town R – “suffered fatal injury, had to be euthanized”",2023,"(13, 14)",R,"“suffered fatal injury, had to be euthanized”",Charles Town,2023-08-31,2015.0,,2015.0,West Virginia,T,T
Who U Gonna Call,Sep 4,Mountaineer R – “injured…euthanized on track”,2023,"(12, 13)",R,“injured…euthanized on track”,Mountaineer,2023-09-04,2016.0,,2016.0,West Virginia,T,T
Thundering Eagle,Sep 10,Los Alamitos R – “musculoskeletal” (two years old),2023,"(13, 14)",R,“musculoskeletal” (two years old),Los Alamitos,2023-09-10,,2021.0,,California,TQ,Q
Information,Sep 12,Los Alamitos T – “musculoskeletal”,2023,"(13, 14)",T,“musculoskeletal”,Los Alamitos,2023-09-12,2020.0,,2020.0,California,TQ,T
Sounds Spooky,Sep 14,"Belmont T – “pulled up, apparent fracture, euthanized”",2023,"(8, 9)",T,"“pulled up, apparent fracture, euthanized”",Belmont,2023-09-14,2020.0,,2020.0,New York,T,T
Undertaker,Sep 16,"Batavia R – “foul-gated, broke pastern, euthanized”",2023,"(8, 9)",R,"“foul-gated, broke pastern, euthanized”",Batavia,2023-09-16,,,,New York,H,H
Moon Frolic,Sep 17,"Aqueduct R – “injured, vanned off, euthanized”",2023,"(9, 10)",R,"“injured, vanned off, euthanized”",Aqueduct,2023-09-17,2019.0,,2019.0,New York,T,T
Hip Hop Hooray,Sep 20,Parx R – “fell dead after finish” (three years old),2023,"(5, 6)",R,“fell dead after finish” (three years old),Parx,2023-09-20,2020.0,,2020.0,Pennsylvania,T,T
Trumpence,Sep 21,Delaware R – “euthanized on the track when he couldn’t get up”,2023,"(9, 10)",R,“euthanized on the track when he couldn’t get up”,Delaware,2023-09-21,2014.0,,2014.0,Delaware,T,T
Perfect Senorita,Sep 24,"Aqueduct R – “catastrophic injury, fell, euthanized on the course”",2023,"(9, 10)",R,"“catastrophic injury, fell, euthanized on the course”",Aqueduct,2023-09-24,2020.0,,2020.0,New York,T,T
Great Story,Sep 25,"Golden Gate R – “pulled up, vanned off, euthanized”",2023,"(12, 13)",R,"“pulled up, vanned off, euthanized”",Golden Gate,2023-09-25,2018.0,,2018.0,California,T,T
Weeping Willows,Sep 27,Golden Gate T (two years old),2023,"(12, 13)",T,(two years old),Golden Gate,2023-09-27,2021.0,,2021.0,California,T,T
Bowl of Cherries,Sep 28,"Aqueduct R – “collapsed, pronounced dead” (five years old)",2023,"(9, 10)",R,"“collapsed, pronounced dead” (five years old)",Aqueduct,2023-09-28,2018.0,,2018.0,New York,T,T
Believe in Lov,Sep 30,Delaware R – “broke down…euthanized on the track”,2023,"(9, 10)",R,“broke down…euthanized on the track”,Delaware,2023-09-30,2020.0,,2020.0,Delaware,T,T
Navy Queen,Oct 1,Golden Gate T,2023,"(12, 13)",T,,Golden Gate,2023-10-01,2017.0,,2017.0,California,T,T
Queen Breezy,Oct 2,Grants Pass R – “broke down”,2023,"(12, 13)",R,“broke down”,Grants Pass,2023-10-02,2017.0,,2017.0,Oregon,TQ,T
Summer Nitro,Oct 3,"Finger Lakes R – “in distress, severe tendon injury, euthanized on track”",2023,"(13, 14)",R,"“in distress, severe tendon injury, euthanized on track”",Finger Lakes,2023-10-03,2020.0,,2020.0,New York,T,T
Takeover Kash,Oct 4,Delaware R – “sustained a critical injury…euthanized”,2023,"(9, 10)",R,“sustained a critical injury…euthanized”,Delaware,2023-10-04,2019.0,,2019.0,Delaware,T,T
Hangin At Haven,Oct 4,"Golden Gate T (two years old, being prepped for debut)",2023,"(12, 13)",T,"(two years old, being prepped for debut)",Golden Gate,2023-10-04,,,,California,T,T
Phantoms Book,Oct 9,Grants Pass R – “broke down”,2023,"(12, 13)",R,“broke down”,Grants Pass,2023-10-09,2018.0,,2018.0,Oregon,TQ,T
Off the Clock,Oct 12,"Keeneland R – “suffered catastrophic injury, euthanized”",2023,"(10, 11)",R,"“suffered catastrophic injury, euthanized”",Keeneland,2023-10-12,2020.0,,2020.0,Kentucky,T,T
Bank On Belle,Oct 13,Belmont T – “sustained injury while breezing…euthanized”,2023,"(8, 9)",T,“sustained injury while breezing…euthanized”,Belmont,2023-10-13,,,2021.0,New York,T,T
Gee Wiz,Oct 13,Delaware R – “took a few bad steps…euthanized”,2023,"(9, 10)",R,“took a few bad steps…euthanized”,Delaware,2023-10-13,2021.0,,2021.0,Delaware,T,T
Border Star,Oct 14,"Fairmount R – “sustained serious injury, humanely euthanized”",2023,"(10, 11)",R,"“sustained serious injury, humanely euthanized”",Fairmount,2023-10-14,2019.0,,2019.0,Illinois,T,T
Holding Au Pair,Oct 15,Aqueduct R (euth Oct 16) – “flipped over [after race]”,2023,"(9, 10)",R,(euth Oct 16)  “flipped over [after race]”,Aqueduct,2023-10-15,2020.0,,2020.0,New York,T,T
Captain Maverick,Oct 15,"Santa Anita T (two years old, being trained for first race)",2023,"(12, 13)",T,"(two years old, being trained for first race)",Santa Anita,2023-10-15,,,,California,T,T
Moon Chariot,Oct 16,Finger Lakes R – “fractured P1 necessitating euthanasia”,2023,"(13, 14)",R,“fractured P1 necessitating euthanasia”,Finger Lakes,2023-10-16,2021.0,,2021.0,New York,T,T
Cloudy Night,Oct 21,"Laurel R – “fell, sustained catastrophic injury, euthanized”",2023,"(7, 8)",R,"“fell, sustained catastrophic injury, euthanized”",Laurel,2023-10-21,2021.0,,2021.0,Maryland,T,T
yet-to-be-named 2-year-old,Feb 7,San Luis Rey T – “[multiple] open [through skin] fractures”,2023,"(13, 14)",T,“[multiple] open [through skin] fractures”,San Luis Rey,2023-02-07,,,,California,T,unclear
