SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,56,DKB,F,BOAT TRIP,ZOE'S BABA,IN EXCESS (IRE),HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,3/23/19,CALIFORNIA,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,58,B,C,MUNNINGS,ZUZU'S PETALS,BEDFORD FALLS,MCCARTHY BLOODSTOCK AGENT,NOT SOLD,95000,,4/7/19,CALIFORNIA,,,,10.3,https://www.youtube.com/watch?v=CCIvTkGyytI
Santa Anita Two-Year-Olds in Training (2021),6/23/21,59,B,C,RUN IT,AFLEET DIABLO,NORTHERN AFLEET,MCKEE BLOODSTOCK LLC AGENT FOR STEVEN KINROSS,OUT,0,,3/10/19,CALIFORNIA,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,60,CH,F,CLASSIC EMPIRE,AUCTION (IRE),MR. GREELEY,EXCEL BLOODSTOCK (BRUNO DEBERDT) AGENT,OUT,0,,4/10/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,61,DKB,F,SHANGHAI BOBBY,AVIE'S EMPIRE,EMPIRE MAKER,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,5/16/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,62,B,C,MR. BIG,BABY ZITO,CURLIN,HAVENS BLOODSTOCK AGENCY INC. AGENT,MARK GLATT AGENT,42000,,3/27/19,CALIFORNIA,,,,11.1,https://www.youtube.com/watch?v=eQgS_cVuhSI
Santa Anita Two-Year-Olds in Training (2021),6/23/21,63,B,F,BAL A BALI (BRZ),BAI AND BAI,FALSTAFF,PIKE RACING AGENT,ALISTAIR RODEN BLOODSTOCK,50000,,2/11/19,KENTUCKY,,,,47.4,https://www.youtube.com/watch?v=u0GaarW2J28
Santa Anita Two-Year-Olds in Training (2021),6/23/21,64,B,C,EXAGGERATOR,BALABUSTA,TWIRLING CANDY,HAVENS BLOODSTOCK AGENCY INC. AGENT,REMMAH RACING,14000,,4/29/19,KENTUCKY,,,,11.1,https://www.youtube.com/watch?v=LxdjclMVBF4
Santa Anita Two-Year-Olds in Training (2021),6/23/21,65,B,F,MACLEAN'S MUSIC,BAUBLE,TALE OF THE CAT,MCCARTHY BLOODSTOCK AGENT,WEST POINT THOROUGHBREDS INC,155000,,4/27/19,KENTUCKY,,,,10.3,https://www.youtube.com/watch?v=GokFP2hHQwI
Santa Anita Two-Year-Olds in Training (2021),6/23/21,66,B,F,TEMPLE CITY,BELLA MONETA,MAX'S PAL,HAVENS BLOODSTOCK AGENCY INC. AGENT,RAY BELL AGENT,27000,,4/3/19,KENTUCKY,,,,11.2,https://www.youtube.com/watch?v=xpClmGj5FMY
Santa Anita Two-Year-Olds in Training (2021),6/23/21,67,DKB,F,WILL TAKE CHARGE,BLOSSOM SPECIAL (IRE),INTELLO (GER),EXCEL BLOODSTOCK (BRUNO DEBERDT) AGENT FOR LEBHERZ RACING LLC,GEORGE HICKER MARTIN JONES AGENT,55000,,3/16/19,KENTUCKY,,,https://youtu.be/GkVk2KPEu2M,10.4,https://www.youtube.com/watch?v=UuhXhsckg_k
Santa Anita Two-Year-Olds in Training (2021),6/23/21,68,DKB,C,UNIFIED,CABBAGE KEY,A.P. INDY,MCCARTHY BLOODSTOCK AGENT,DENNIS O'NEILL,100000,,3/29/19,KENTUCKY,,,,10.4,https://www.youtube.com/watch?v=ORYgCxNmp9A
Santa Anita Two-Year-Olds in Training (2021),6/23/21,69,B,F,SMILING TIGER,CARMEN'S MYSTERY,WAR FRONT,EXCEL BLOODSTOCK (BRUNO DEBERDT) AGENT FOR LEBHERZ RACING LLC,JEFF GANJE,10000,Y,3/12/19,CALIFORNIA,,,https://youtu.be/GyPxW-sdHPw,11.1,https://www.youtube.com/watch?v=7GMOcYC370U
Santa Anita Two-Year-Olds in Training (2021),6/23/21,70,B,F,DESERT CODE,COCO ECOLO,JOHANNESBURG,MCCARTHY BLOODSTOCK AGENT,JAVIER PEREZ,30000,,3/1/19,CALIFORNIA,,,,11,https://www.youtube.com/watch?v=P15dxJFUDKQ
Santa Anita Two-Year-Olds in Training (2021),6/23/21,71,B,F,LORD NELSON,COLONEL JOAN,COLONEL JOHN,L G AGENT,OUT,0,,5/7/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,72,B,F,BODEMEISTER,CONSILIA,VINDICATION,KINGS EQUINE AGENT,HECTOR PALMA,18000,,5/2/19,KENTUCKY,,,,11.1,https://www.youtube.com/watch?v=qfRxumfwTFk
Santa Anita Two-Year-Olds in Training (2021),6/23/21,73,B,C,SHACKLEFORD,CORLEONE,INDIAN CHARLIE,HAVENS BLOODSTOCK AGENCY INC. AGENT,DENNIS O'NEILL,62000,,4/25/19,CALIFORNIA,,,,10.3,https://www.youtube.com/watch?v=rtlU-J7SGI4
Santa Anita Two-Year-Olds in Training (2021),6/23/21,74,B,C,GOLDENCENTS,CORNER GIRL,IS IT TRUE,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,4/28/19,INDIANA,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,75,CH,F,TEXAS RYANO,DIAL A DATE,ARTIE SCHILLER,MCCARTHY BLOODSTOCK AGENT,JOE MASINO RACING,47000,,3/10/19,CALIFORNIA,,,,23,https://www.youtube.com/watch?v=8vfrS7sB1p8
Santa Anita Two-Year-Olds in Training (2021),6/23/21,76,CH,F,KANTHAROS,DINA GOLD,SEEKING THE GOLD,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,5/3/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,77,CH,C,STRONG MANDATE,DOCTOR VICKIE LYNN,ELUSIVE QUALITY,HAVENS BLOODSTOCK AGENCY INC. AGENT,BRUCE GUTTMAN,9000,,4/24/19,KENTUCKY,,,,11.2,https://www.youtube.com/watch?v=VrJIdts3RgM
Santa Anita Two-Year-Olds in Training (2021),6/23/21,78,CH,G,STANFORD,DRAMA CAT,TALE OF THE CAT,CHECKMATE THOROUGHBREDS LLC AGENT,OUT,0,,1/7/19,CALIFORNIA,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,79,B,F,EL DEAL,DREAMING OF SUSIE,COWTOWN CAT,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,5/15/19,LOUISIANA,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,80,DKB,F,EMPIRE MAKER,DREAM SPINNER,HARD SPUN,KINGS EQUINE AGENT,MARK STEPHEN HOWARD,130000,,3/21/19,KENTUCKY,,,https://vimeo.com/558720109,10.4,https://www.youtube.com/watch?v=moZtiGksv6w
Santa Anita Two-Year-Olds in Training (2021),6/23/21,81,DKB,C,NYQUIST,ELUSIVE TEMPER,ELUSIVE QUALITY,MCCARTHY BLOODSTOCK AGENT,NOT SOLD,235000,,3/17/19,CALIFORNIA,,,,10.4,https://www.youtube.com/watch?v=PIBR6zPj9pA
Santa Anita Two-Year-Olds in Training (2021),6/23/21,82,DKB,C,DANZING CANDY,EXPO GOLD,JOHANNESBURG,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,4/15/19,CALIFORNIA,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,83,CH,F,GORMLEY,FINE CUT,POSSE,KINGS EQUINE AGENT FOR SPENDTHRIFT FARM LLC,ROBERT B HESS JR,22000,,4/4/19,KENTUCKY,,,https://vimeo.com/558720148,11,https://www.youtube.com/watch?v=KZWcyfW5uIg
Santa Anita Two-Year-Olds in Training (2021),6/23/21,85,DKB,C,DANZING CANDY,FLEET ROYALE,NORTHERN AFLEET,KINGS EQUINE AGENT,OUT,0,,4/25/19,CALIFORNIA,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,86,CH,C,ARROGATE,FLUTTERBY,CONGRATS,MCKEE BLOODSTOCK LLC AGENT,OUT,0,,2/19/19,KENTUCKY,,,,12.2,https://www.youtube.com/watch?v=FoGr_ZUk7pQ
Santa Anita Two-Year-Olds in Training (2021),6/23/21,87,CH,C,UNION JACKSON,FOREST RAINBOW,FOREST WILDCAT,L G AGENT,WEST POINT THOROUGHBREDS INC,42000,,3/21/19,NEW YORK,,,,10.4,https://www.youtube.com/watch?v=3NiIqAnJWmw
Santa Anita Two-Year-Olds in Training (2021),6/23/21,88,CH,F,LIAM'S MAP,FROZEN MUSIC,LANGFUHR,KINGS EQUINE AGENT,ROBERT B HESS JR,80000,,4/2/19,KENTUCKY,,,https://vimeo.com/558720183,10.3,https://www.youtube.com/watch?v=3G_sTK6FcV8
Santa Anita Two-Year-Olds in Training (2021),6/23/21,89,CH,C,TAPITURE,GIULIETTA,DUNKIRK,KINGS EQUINE AGENT,ANDREW T ANDREWS,70000,,3/21/19,KENTUCKY,,,https://vimeo.com/558720250,10.4,https://www.youtube.com/watch?v=BgyWl9cPqE8
Santa Anita Two-Year-Olds in Training (2021),6/23/21,90,CH,F,CURLIN,GOLD BEACH,TAPIT,MCKEE BLOODSTOCK LLC AGENT FOR STEVEN KINROSS,OUT,0,,1/26/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,91,CH,F,JIMMY CREED,GOLDEN VICTRESS,CARSON CITY,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,5/3/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,92,CH,C,STANFORD,GONE TO PARTY,ALL GONE,KINGS EQUINE AGENT,OUT,0,,4/10/19,CALIFORNIA,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,93,B,F,MACLEAN'S MUSIC,HI BEAUTIFUL,SNOW RIDGE,EXCEL BLOODSTOCK (BRUNO DEBERDT) AGENT,JEFF JACOBS JOYCE LONG AGENT,52000,,5/14/19,KENTUCKY,,,,11.1,https://www.youtube.com/watch?v=JahJ6YA7v8g
Santa Anita Two-Year-Olds in Training (2021),6/23/21,94,CH,F,WILL TAKE CHARGE,HOLIDAY FOR KITTEN,KITTEN'S JOY,HAVENS BLOODSTOCK AGENCY INC. AGENT,NOT SOLD,29000,,4/25/19,KENTUCKY,,,,10.3,https://www.youtube.com/watch?v=3hCknhRWkvU
Santa Anita Two-Year-Olds in Training (2021),6/23/21,95,CH,F,SMILING TIGER,HONG KONG LAKE,FRIENDS LAKE,EXCEL BLOODSTOCK (BRUNO DEBERDT) AGENT FOR PT SYNDICATE #1 LLC,LOYD BONFANTE,50000,,3/9/19,CALIFORNIA,,,https://youtu.be/Y7YgwSoi4Vc,11.2,https://www.youtube.com/watch?v=tPTMnVc3jis
Santa Anita Two-Year-Olds in Training (2021),6/23/21,96,DKB,F,CONSTITUTION,HOW FAR TO HEAVEN,DISTORTED HUMOR,KINGS EQUINE AGENT FOR SPENDTHRIFT FARM LLC,NOT SOLD,50000,,3/15/19,KENTUCKY,,,https://vimeo.com/558720302,11,https://www.youtube.com/watch?v=IUcbyp_h1n8
Santa Anita Two-Year-Olds in Training (2021),6/23/21,97,DKB,F,SHAMAN GHOST,IMPEACHED,NORTHERN AFLEET,MCCARTHY BLOODSTOCK AGENT,OUT,0,,4/8/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,98,B,F,CLASSIC EMPIRE,JUST LIKE POP,UNBRIDLED'S SONG,PIKE RACING AGENT,NOT SOLD,49000,,3/1/19,KENTUCKY,,,,11,https://www.youtube.com/watch?v=BzHw9JqfW0g
Santa Anita Two-Year-Olds in Training (2021),6/23/21,99,B,F,HOLY BOSS,KIP BERRIES,KIPLING,HAVENS BLOODSTOCK AGENCY INC. AGENT,WEST POINT THOROUGHBREDS INC,110000,,1/28/19,MARYLAND,,,,10.4,https://www.youtube.com/watch?v=FMc5plLC8A8
Santa Anita Two-Year-Olds in Training (2021),6/23/21,100,CH,C,KLIMT,KISSMEDADDY,SCAT DADDY,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,4/16/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,101,DKB,F,STAY THIRSTY,LETSGOTOVEGAS,INDIAN CHARLIE,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,2/17/19,CALIFORNIA,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,102,DKB,C,PIONEEROF THE NILE,LIFE IS SWEET,STORM CAT,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,2/23/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,103,CH,F,HARD SPUN,LOVE AND MARRIAGE,ARCH,CHECKMATE THOROUGHBREDS LLC AGENT,OUT,0,,4/13/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,104,GRR,C,ARROGATE,LUMINANCE,TALE OF THE CAT,KINGS EQUINE AGENT,OUT,0,,2/1/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,105,GRR,F,GRAZEN,LUNA STAR,MALIBU MOON,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,4/15/19,CALIFORNIA,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,106,CH,F,SQUARE EDDIE,MEETMEINTHEWOODS,GENERAL MEETING,MCCARTHY BLOODSTOCK AGENT,OUT,0,,3/6/19,CALIFORNIA,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,107,B,C,PIONEEROF THE NILE,INTANGAROO,ORIENTATE,MCCARTHY BLOODSTOCK AGENT,OUT,0,,4/19/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,108,DKB,F,TIZNOW,CLASSY DEFENCE,FIRST DEFENCE,L G AGENT,NOT SOLD,34000,,4/8/19,KENTUCKY,,,,11.1,https://www.youtube.com/watch?v=CsSCGYdb4_U
Santa Anita Two-Year-Olds in Training (2021),6/23/21,109,B,C,SPEIGHTSTER,PANKHURST,ARTIE SCHILLER,L G AGENT,LITTLE RED FEATHER RACING JOHN DOWD AGENT,80000,,5/8/19,KENTUCKY,,,,10.2,https://www.youtube.com/watch?v=-7x79eStFuI
Santa Anita Two-Year-Olds in Training (2021),6/23/21,110,CH,C,VIOLENCE,JEALOUS AND JADED,JADE HUNTER,HARTLEY/DE RENZO THOROUGHBREDS AGENT,OUT,0,,5/19/19,KENTUCKY,,,,11,https://www.youtube.com/watch?v=C4oAUf9ErOY
Santa Anita Two-Year-Olds in Training (2021),6/23/21,111,B,F,STANFORD,PROMENADE,BERTRANDO,HAVENS BLOODSTOCK AGENCY INC. AGENT,HOWARD & JANET SIEGEL RACING,30000,,3/30/19,CALIFORNIA,,,,10.3,https://www.youtube.com/watch?v=xFAJP5FxJNE
Santa Anita Two-Year-Olds in Training (2021),6/23/21,112,CH,C,CARPE DIEM,BRABBLE,BERNARDINI,MCCARTHY BLOODSTOCK AGENT,OUT,0,,2/2/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,113,DKB,C,SPEIGHTSTER,MY SUGAR,CONGRATS,MCCARTHY BLOODSTOCK AGENT,OUT,0,,2/16/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,114,CH,C,CARPE DIEM,WICKED OBSESSION,TAPIT,MCCARTHY BLOODSTOCK AGENT,ANDREW T ANDREWS,12000,,3/4/19,KENTUCKY,,,,11,https://www.youtube.com/watch?v=rDbW9noBQag
Santa Anita Two-Year-Olds in Training (2021),6/23/21,115,B,C,RUN AWAY AND HIDE,FULL OF JOY,KITTEN'S JOY,HAVENS BLOODSTOCK AGENCY INC. AGENT,AIDAN BUTLER,31000,,4/9/19,KENTUCKY,,,,11,https://www.youtube.com/watch?v=Sr85Ku_5HQU